frame,time_ms,right_elbow,left_elbow,right_knee,left_knee,right_shoulder,left_shoulder,lmk_11_x,lmk_11_y,lmk_11_z,lmk_12_x,lmk_12_y,lmk_12_z,lmk_13_x,lmk_13_y,lmk_13_z,lmk_14_x,lmk_14_y,lmk_14_z,lmk_15_x,lmk_15_y,lmk_15_z,lmk_16_x,lmk_16_y,lmk_16_z,lmk_17_x,lmk_17_y,lmk_17_z,lmk_18_x,lmk_18_y,lmk_18_z,lmk_19_x,lmk_19_y,lmk_19_z,lmk_20_x,lmk_20_y,lmk_20_z,lmk_21_x,lmk_21_y,lmk_21_z,lmk_22_x,lmk_22_y,lmk_22_z,lmk_23_x,lmk_23_y,lmk_23_z,lmk_24_x,lmk_24_y,lmk_24_z,lmk_25_x,lmk_25_y,lmk_25_z,lmk_26_x,lmk_26_y,lmk_26_z,lmk_27_x,lmk_27_y,lmk_27_z,lmk_28_x,lmk_28_y,lmk_28_z,lmk_29_x,lmk_29_y,lmk_29_z,lmk_30_x,lmk_30_y,lmk_30_z,lmk_31_x,lmk_31_y,lmk_31_z,lmk_32_x,lmk_32_y,lmk_32_z,neck_x,neck_y,neck_z,neck_angle
24,800,181.0,181.0,181.0,181.0,181.0,181.0,-0.02008521556854248,0.7626850008964539,-0.0946524441242218,0.6736526787281036,0.7792956829071045,-0.38678988814353943,,,,,,,,,,,,,,,,0.8091531246900558,0.843100368976593,-3.04646635055542,,,,0.842603012919426,0.8045018315315247,-3.0685181617736816,,,,0.7859678566455841,0.825593113899231,-2.687732458114624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28776759654283524,0.6594598293304443,-0.7020361423492432,-109.28110106497354
25,833,181.0,181.0,181.0,181.0,181.0,181.0,-0.06289160251617432,0.7732139825820923,0.05727137252688408,0.5755789875984192,0.8012250065803528,-0.23910151422023773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22691240906715393,0.6802508682012558,-0.6198426717892289,-105.3836763608166
26,866,181.0,181.0,181.0,181.0,181.0,181.0,,,,0.4461464285850525,0.8340266942977905,-0.3633948266506195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
27,900,181.0,181.0,181.0,181.0,181.0,181.0,-0.5538362264633179,0.8431326746940613,-0.7551253437995911,0.3530236482620239,0.8235638737678528,-0.2197985053062439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
28,933,181.0,181.0,181.0,181.0,181.0,181.0,-0.18341362476348877,0.6602421402931213,0.3956352472305298,0.4899975657463074,0.6924085021018982,0.4240356981754303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15511056780815125,0.5710455551743507,-0.0033221468329429626,-89.01037404601082
29,966,181.0,181.0,181.0,181.0,181.0,181.0,-0.4318605661392212,0.6683467030525208,-0.7258016467094421,0.4735490083694458,0.59963458776474,-0.6827850341796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
30,1000,181.0,181.0,181.0,181.0,181.0,181.0,-0.36922311782836914,0.5920981764793396,-0.3167646527290344,0.4223864674568176,0.5094378590583801,-0.8408699631690979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01514461636543274,0.42861151695251465,-0.9602504670619965,-95.34879794819
31,1033,181.0,181.0,181.0,181.0,181.0,181.0,-0.36599409580230713,0.5723128914833069,-0.3331296145915985,0.3951371908187866,0.4864753186702728,-0.8220351338386536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4285164475440979,1.017407774925232,-0.21039554476737976,,,,,,,,,,,,,,,,,,,,,,,,,-0.014066681265830994,0.41129713505506516,-0.8954471722245216,-103.63096318540269
32,1066,181.0,181.0,181.0,181.0,181.0,181.0,-0.37616968154907227,0.5565376877784729,-0.3538581132888794,0.3884745240211487,0.4661356508731842,-1.080927848815918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4824562072753906,1.0872164964675903,-0.23565150797367096,,,,,,,,,,,,,,,,,,,,,,,,,-0.026791200041770935,0.39276760816574097,-1.0180854201316833,-105.52759708133112
33,1100,181.0,181.0,181.0,181.0,181.0,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0
